*Time stamp		count-src,src-ip		count-dest,dest-ip		count-anyport-src,ip		count-anyport-dest,ip
1998-06-2417:20:33	4	"192.168.001.010"	3	"208.134.241.155"	4	"192.168.001.010"	4	"172.016.116.044"
1998-06-2413:25:46	1	"196.037.075.158"	3	"197.182.091.233"	7	"172.016.112.020"	3	"197.182.091.233"
1998-06-2416:23:19	3	"192.168.001.010"	7	"192.168.001.010"	7	"172.016.116.044"	7	"192.168.001.010"
1998-06-2411:30:57	1	"172.016.115.005"	1	"192.041.009.232"	2	"172.016.115.005"	1	"207.046.148.250"
1998-06-2415:37:51	2	"172.016.116.044"	6	"192.168.001.010"	6	"172.016.116.044"	6	"192.168.001.010"
1998-06-2413:16:04	1	"196.037.075.158"	2	"038.251.105.004"	5	"195.115.218.108"	2	"209.100.054.065"
1998-06-2413:45:38	1	"172.016.117.132"	2	"209.143.198.141"	7	"172.016.115.005"	2	"209.143.198.141"
1998-06-2418:09:03	4	"192.168.001.010"	6	"192.168.001.010"	6	"172.016.116.044"	6	"192.168.001.010"
1998-06-2417:10:29	6	"172.016.114.148"	5	"192.168.001.010"	6	"172.016.114.148"	6	"196.227.033.189"
1998-06-2416:12:17	2	"172.016.116.044"	7	"192.168.001.010"	7	"172.016.116.044"	7	"192.168.001.010"
1998-06-2418:48:13	1	"192.168.001.001"	2	"192.168.001.010"	2	"172.016.116.044"	2	"192.168.001.010"
1998-06-2416:41:56	2	"172.016.116.044"	10	"192.168.001.010"	10	"172.016.116.044"	10	"192.168.001.010"
1998-06-2410:01:45	14	"197.218.177.069"	2	"198.233.040.006"	14	"197.218.177.069"	14	"172.016.114.169"
1998-06-2411:59:26	1	"194.007.248.153"	1	"206.252.029.040"	2	"194.007.248.153"	1	"208.134.246.201"
1998-06-2501:02:55	2	"192.168.001.020"	244	"192.168.001.010"	244	"192.168.001.020"	244	"192.168.001.010"
1998-06-2418:24:33	3	"192.168.001.010"	1	"192.168.001.010"	3	"192.168.001.010"	3	"172.016.116.044"
1998-06-2410:21:22	1	"172.016.112.020"	3	"192.168.001.010"	5	"172.016.112.020"	4	"192.168.001.010"
1998-06-2417:49:30	1	"192.168.001.010"	2	"192.168.001.010"	2	"172.016.116.201"	3	"192.168.001.010"
1998-06-2413:47:08	1	"196.227.033.189"	4	"207.077.090.013"	4	"196.227.033.189"	4	"207.077.090.013"
1998-06-2412:25:13	1	"172.016.113.105"	2	"167.008.029.016"	3	"172.016.112.207"	2	"204.123.002.075"
1998-06-2416:49:48	2	"172.016.116.044"	5	"192.168.001.010"	5	"172.016.116.044"	5	"192.168.001.010"
1998-06-2412:17:26	1	"172.016.114.207"	2	"172.016.114.148"	4	"135.013.216.191"	2	"209.166.168.020"
1998-06-2408:54:54	1	"172.016.116.194"	2	"137.245.085.134"	2	"172.016.114.207"	2	"137.245.085.134"
1998-06-2409:16:23	1	"196.037.075.158"	2	"160.096.179.012"	5	"196.037.075.158"	2	"160.096.179.012"
1998-06-2410:44:47	4	"197.218.177.069"	2	"135.008.060.182"	4	"197.218.177.069"	4	"172.016.114.207"
1998-06-2410:52:20	18	"197.218.177.069"	1	"172.016.113.050"	18	"197.218.177.069"	18	"172.016.113.050"
1998-06-2411:19:57	1	"172.016.114.207"	2	"172.016.112.207"	4	"172.016.114.207"	3	"172.016.112.207"
1998-06-2415:48:41	1	"197.182.091.233"	2	"197.182.091.233"	5	"172.016.114.148"	2	"208.194.115.053"
1998-06-2412:44:54	1	"172.016.112.194"	2	"172.016.113.084"	5	"135.013.216.191"	3	"135.013.216.191"
1998-06-2416:49:43	2	"172.016.116.044"	5	"192.168.001.010"	5	"172.016.116.044"	5	"192.168.001.010"
1998-06-2410:10:42	1	"172.016.117.103"	2	"192.055.114.010"	3	"172.016.112.194"	2	"192.055.114.010"
1998-06-2412:09:12	1	"192.168.001.010"	2	"194.007.248.153"	2	"172.016.115.087"	3	"194.007.248.153"
1998-06-2416:01:34	2	"172.016.116.044"	12	"192.168.001.010"	12	"172.016.116.044"	12	"192.168.001.010"
1998-06-2408:48:29	1	"197.182.091.233"	30	"199.095.074.090"	30	"172.016.116.194"	30	"199.095.074.090"
1998-06-2413:57:11	1	"172.016.117.132"	3	"172.016.114.207"	5	"135.013.216.191"	3	"172.016.114.207"
1998-06-2410:13:18	1	"196.227.033.189"	3	"192.168.001.020"	10	"196.037.075.158"	3	"192.168.001.020"
1998-06-2418:25:09	4	"192.168.001.010"	3	"192.168.001.010"	4	"192.168.001.010"	4	"172.016.116.044"
1998-06-2410:47:54	1	"172.016.115.005"	1	"207.158.237.174"	8	"135.013.216.191"	1	"207.158.237.174"
1998-06-2419:54:42	2	"192.168.001.010"	1	"172.016.116.044"	2	"192.168.001.010"	2	"172.016.116.044"
