Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels
Azure for Researchers part 2: Cloud Security and Cost Management,https://docs.microsoft.com/en-us/learn/paths/researcher-cloud-security-cost-management/,4,"51,373","770,795",179.25%,429,769,854,1757,41.97116449,140,142,learn.researcher-cloud-security-cost-management,student;school-leader;higher-ed-educator;data-scientist,azure;azure-cost-management;azure-firewall;azure-key-vault,beginner
Monitor and back up resources for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-monitor-backup-resources/,9,"11,588","171,248",111.08%,325,361,367,1757,38.129788,605,435,learn.azure-admin-monitor-backup-resources,administrator,azure;azure-virtual-machines;azure-monitor;azure-application-insights;azure-backup;azure-site-recovery,beginner
Deploy and manage compute resources for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-manage-compute-resources/,14,"39,942","409,269",110.65%,460,509,399,1757,27.4938757,"1,274",681,learn.azure-admin-manage-compute-resources,administrator,azure;azure-virtual-machines;azure-clis;azure-resource-manager;azure-vm-scalesets;azure-container-instances;azure-container-registry;azure-kubernetes-service,beginner
"AZ-305: Design identity, governance, and monitor solutions",https://docs.microsoft.com/en-us/learn/paths/design-identity-governance-monitor-solutions/,4,32,290,100.00%,2,2,2,1757,12.4671875,,108,learn.wwl.design-identity-governance-monitor-solutions,solution-architect,azure,advanced
Share data with Azure Data Share,https://docs.microsoft.com/en-us/learn/paths/share-data-with-azure-data-share/,2,"1,245","16,563",91.43%,140,128,141,1757,26.87859438,155,82,learn.wwl.sharing-data-with-azure-data-share,data-engineer,azure-data-share,intermediate
Explore the foundations of identity and governance for SAP on Azure,https://docs.microsoft.com/en-us/learn/paths/explore-foundations-of-identity-governance/,3,38,685,71.43%,14,10,11,1757,4.928070175,2,180,learn.wwl.explore-foundations-of-identity-governance,administrator;solution-architect,azure,advanced
Manage the lifecycle of your projects on GitHub,https://docs.microsoft.com/en-us/learn/paths/manage-project-lifecycle-github/,6,"6,554","54,296",67.34%,"1,093",736,708,1757,16.88672312,"1,309",358,learn.manage-project-lifecycle-github,devops-engineer;administrator;developer;solution-architect,github,intermediate
"Learn the basics of Power BI Desktop, Power Automate, and PowerApps",https://docs.microsoft.com/en-us/learn/paths/power-platform-introduction/,3,"79,065","436,193",66.67%,"1,284",856,679,1757,15.81864563,"2,557",192,learn.wwl.power-platform-introduction,business-user,power-apps;power-platform,intermediate
Improve your reliability with modern operations practices,https://docs.microsoft.com/en-us/learn/paths/improve-reliability-modern-operations/,6,873,"13,308",66.47%,173,115,127,1757,35.67214586,625,170,learn.improve-reliability-modern-operations,administrator;devops-engineer;solution-architect;technology-manager,azure,beginner
Implement resource management security in Azure,https://docs.microsoft.com/en-us/learn/paths/implement-resource-mgmt-security/,6,"55,568","776,823",62.97%,"2,320","1,461","1,561",1757,38.10050749,"9,759",207,learn.security.implement-resource-mgmt-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-resource-manager;azure-blueprints;azure-policy;azure-rbac,beginner;intermediate
Deploy and work with Loss Prevention for Dynamics 365 Fraud Protection,https://docs.microsoft.com/en-us/learn/paths/deploy-work-loss-prevention-fraud-protection/,3,246,"1,961",62.50%,48,30,28,1757,15.8802168,35,154,learn-dynamics.deploy-work-loss-prevention-fraud-protection,functional-consultant;administrator;business-user;developer,dynamics-365;dynamics-fraud-protection;dynamics-commerce,intermediate
