Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Implement Windows Server IaaS VM Identity,https://docs.microsoft.com/en-us/learn/paths/implement-windows-server-iaas-virtual-machine-identity/,2,"5,198","97,138",1140.87%,230,"2,624","3,333",2180,29.71480698,326,148,learn.wwl.implement-windows-server-iaas-vm-identity,administrator;solution-architect;technology-manager,azure;azure-active-directory;azure-cloud-shell;azure-portal;azure-virtual-machines,intermediate,tonyj,wwlpublish
"Implement Windows Server hybrid cloud management, monitoring, and security",https://docs.microsoft.com/en-us/learn/paths/implement-windows-server-hybrid-cloud-management-monitoring-security/,4,"4,208","124,779",648.71%,388,"2,517","3,233",2180,28.65718077,397,175,learn.wwl.implement-windows-server-hybrid-cloud-management-monitoring-security,administrator;solution-architect;technology-manager,azure;azure-cloud-shell;azure-monitor;azure-portal,intermediate,tonyj,wwlpublish
Implement Windows Server IaaS VM Security,https://docs.microsoft.com/en-us/learn/paths/implement-windows-server-iaas-virtual-machine-security/,6,"3,934","186,535",569.28%,446,"2,539","3,239",2180,46.87698695,334,263,learn.wwl.implement-windows-server-iaas-vm-security,administrator;solution-architect;technology-manager,azure;azure-cloud-shell;azure-monitor;azure-portal;azure-virtual-machines,intermediate,tonyj,wwlpublish
AZ-204: Develop solutions that use Blob storage,https://docs.microsoft.com/en-us/learn/paths/develop-solutions-that-use-blob-storage/,3,"5,733","139,775",552.39%,817,"4,513","5,431",2180,21.54603175,94,85,learn.wwl.develop-solutions-that-use-blob-storage,developer,azure,intermediate,jeffko,wwlpublish
Plan your Windows devices deployment strategy,https://docs.microsoft.com/en-us/learn/paths/plan-your-windows-10-deployment-strategy/,5,"4,265","172,825",543.54%,565,"3,071","3,708",2180,39.33237984,168,161,learn.wwl.plan-your-windows-10-deployment-strategy,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Monitor and maintain Windows Server IaaS Virtual Machine,https://docs.microsoft.com/en-us/learn/paths/monitor-maintain-windows-server-iaas-virtual-machine/,5,"4,506","167,940",530.48%,479,"2,541","3,286",2180,37.16937787,334,247,learn.wwl.monitor-maintain-windows-server-iaas-vm,administrator;solution-architect;student;technology-manager,azure;azure-cloud-shell;azure-monitor;azure-portal;azure-virtual-machines,intermediate,tonyj,wwlpublish
Configure and work with analytics and reporting in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/configure-analytics-reporting-finance-operations/,2,"6,338","231,108",484.40%,827,"4,006","7,144",2180,23.92750079,"1,343",127,learn-dynamics.configure-analytics-reporting-finance-operations,functional-consultant;business-user,dynamics-365;dynamics-finance-operations;dynamics-finance,intermediate,cstorega,cstorega
Prepare for device management in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/prepare-for-device-management-microsoft-365/,5,"4,297","154,614",476.72%,653,"3,113","3,754",2180,36.77086339,236,142,learn.wwl.prepare-for-device-management-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
AZ-204: Implement infrastructure as a service solutions,https://docs.microsoft.com/en-us/learn/paths/az-204-implement-iaas-solutions/,4,"6,191","192,396",393.58%,"1,106","4,353","5,311",2180,28.49833091,124,121,learn.wwl.az-204-implement-iaas-solutions,developer,azure;azure-container-instances;azure-container-registry;azure-resource-manager;azure-virtual-machines,intermediate,jeffko,wwlpublish
AZ-204: Develop solutions that use Azure Cosmos DB,https://docs.microsoft.com/en-us/learn/paths/az-204-develop-solutions-that-use-azure-cosmos-db/,3,"6,508","155,883",381.92%,"1,206","4,606","5,557",2180,26.95288107,130,94,learn.wwl.az-204-develop-solutions-that-use-azure-cosmos-db,developer,azure;azure-cosmos-db,intermediate,jeffko,wwlpublish
Migrate data and go live with Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/migrate-data-go-live-finance-operations/,4,"7,273","410,236",366.27%,"1,097","4,018","7,152",2180,29.29553371,"1,807",258,learn-dynamics.migrate-data-go-live-with-dynamics-365-finance-ops,functional-consultant;developer;solution-architect,dynamics-365;dynamics-finance-operations,intermediate,cstorega,cstorega
SC-400: Implement Information Governance in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/implement-information-governance/,3,"4,327","89,385",334.19%,860,"2,874","3,015",2180,22.70713735,590,158,learn.wwl.implement-information-governance,auditor;ip-admin,m365;m365-information-protection,intermediate,bneeb,wwlpublish
SC-400: Implement Data Loss Prevention,https://docs.microsoft.com/en-us/learn/paths/implement-data-loss-prevention/,3,"4,814","99,314",302.39%,878,"2,655","2,922",2180,21.94557887,624,118,learn.wwl.implement-data-loss-prevention,auditor;ip-admin;risk-practitioner,m365;m365-information-protection,intermediate,bneeb,wwlpublish
Administer Power Apps portals,https://docs.microsoft.com/en-us/learn/paths/administer-portals/,4,"5,340","105,478",277.44%,"1,077","2,988","3,360",2180,24.04559925,740,77,learn-bizapps.administer-power-apps-portals,maker;functional-consultant;administrator;developer;solution-architect,power-platform;power-apps,advanced,dbeasley,DaveBeasley
Use Lifecycle Services to design and plan an implementation of Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/use-lcs-design-plan-implementation-finance-operations/,3,"7,695","443,346",273.98%,"1,549","4,244","7,162",2180,21.73945203,"1,904",209,learn-dynamics.use-lcs-to-design-and-plan-an-implementation-of-f-and-o,functional-consultant;administrator;solution-architect,dynamics-365;dynamics-finance-operations,beginner,cstorega,cstorega
Extend Power Apps portals,https://docs.microsoft.com/en-us/learn/paths/extend-power-apps-portals/,3,"5,391","90,623",264.15%,"1,152","3,043","3,362",2180,23.12138131,859,142,learn-bizapps.extend-power-apps-portals,maker;functional-consultant;administrator;developer;solution-architect,power-platform;power-apps,advanced,dbeasley,DaveBeasley
Set up calling in Microsoft Teams with Phone System,https://docs.microsoft.com/en-us/learn/paths/m365-teams-voice/,7,"2,666","120,641",260.23%,528,"1,374","1,741",2180,29.07930733,243,230,learn-m365-pr.m365-teams-calling,administrator,m365,advanced,teleary,IanKensey
AZ-204: Implement Azure Functions,https://docs.microsoft.com/en-us/learn/paths/implement-azure-functions/,3,"7,522","166,159",257.78%,"1,871","4,823","5,821",2180,31.55478153,236,83,learn.wwl.implement-azure-functions,developer,azure;azure-functions,intermediate,jeffko,wwlpublish
MS-500 part 3 - Implement and manage information protection,https://docs.microsoft.com/en-us/learn/paths/implement-manage-information-protection/,7,"6,028","220,952",250.26%,"1,138","2,848","3,013",2180,39.31454048,272,342,learn.wwl.implement-manage-information-protection,administrator;security-engineer;technology-manager,office-365,intermediate,hrasheed,wwlpublish
