Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Azure for Researchers part 2: Cloud Security and Cost Management,https://docs.microsoft.com/en-us/learn/paths/researcher-cloud-security-cost-management/,4,45532,705870,138.83%,394,547,600,1719,45.205981507511204,227,142,learn.researcher-cloud-security-cost-management,student;school-leader;higher-ed-educator;data-scientist,azure;azure-cost-management;azure-firewall;azure-key-vault,beginner,marouill,MaximRouiller
Share data with Azure Data Share,https://docs.microsoft.com/en-us/learn/paths/share-data-with-azure-data-share/,2,1190,16439,115.13%,119,137,149,1719,26.889243697478992,174,82,learn.wwl.sharing-data-with-azure-data-share,data-engineer,azure-data-share,intermediate,chtestao,wwlpublish
Manage the hybrid deployment life cycle,https://docs.microsoft.com/en-us/learn/paths/manage-hybrid-deployment-life-cycle/,5,45,1221,111.76%,17,19,19,1719,24.354444444444443,1,173,learn.wwl.manage-hybrid-deployment-life-cycle,administrator,azure-active-directory;m365,intermediate,tfrink,wwlpublish
Learn how Microsoft supports cloud adoption as part of a cybersecurity solution,https://docs.microsoft.com/en-us/learn/paths/secure-cloud-adoption-cybersecurity/,2,23993,273144,103.51%,171,177,196,1719,34.6945609135998,302,91,learn-m365.cybersecurity-secure-cloud-adoption,administrator;security-operations-analyst;security-engineer,m365;azure,beginner,beccarobins,lizap
Implement Windows Server IaaS VM Identity,https://docs.microsoft.com/en-us/learn/paths/implement-windows-server-iaas-virtual-machine-identity/,2,1351,10423,102.78%,144,148,168,1719,22.613422156427337,329,148,learn.wwl.implement-windows-server-iaas-vm-identity,administrator;solution-architect;technology-manager,azure;azure-active-directory;azure-cloud-shell;azure-portal;azure-virtual-machines,intermediate,tonyj,wwlpublish
Manage mailbox migrations,https://docs.microsoft.com/en-us/learn/paths/manage-mailbox-migrations/,4,46,982,80.00%,25,20,20,1719,17.342028985507245,4,136,learn.wwl.manage-mailbox-migrations,administrator,azure-active-directory;m365,intermediate,tfrink,wwlpublish
OneNote teacher academy,https://docs.microsoft.com/en-us/learn/paths/onenote-teacher-academy/,4,13082,400835,74.28%,3242,2408,2853,1719,15.776847322020078,429,253,learn.mec.onenote-teacher-academy,k-12-educator;school-leader,office-onenote,intermediate,abdewees,mec-sa
Bring AI to business users in your organization,https://docs.microsoft.com/en-us/learn/paths/bring-ai-to-business-users-your-organization/,3,65024,440948,68.12%,389,265,278,1719,24.01650621309055,929,113,learn.wwl.bring-ai-to-business-users-your-organization,business-user,m365;power-platform,beginner,japerena,wwlpublish
Deploy and work with Account Protection and Purchase Protection for Dynamics 365 Fraud Protection,https://docs.microsoft.com/en-us/learn/paths/deploy-work-account-purchase-protection/,5,225,2052,63.89%,36,23,25,1719,10.419185185185185,1,312,learn-dynamics.deploy-work-account-purchase-protection,functional-consultant;administrator;business-user;developer,dynamics-365;dynamics-fraud-protection;dynamics-commerce,intermediate,cstorega,cstorega
Implement resource management security in Azure,https://docs.microsoft.com/en-us/learn/paths/implement-resource-mgmt-security/,6,47038,649726,61.98%,1244,771,792,1719,39.44068944257834,9910,207,learn.security.implement-resource-mgmt-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-resource-manager;azure-blueprints;azure-policy;azure-rbac,beginner;intermediate,adsteven,adrianstevens
