Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Azure for Researchers part 2: Cloud Security and Cost Management,https://docs.microsoft.com/en-us/learn/paths/researcher-cloud-security-cost-management/,4,44974,662974,120.30%,463,557,618,1727,44.601410073968665,277,142,learn.researcher-cloud-security-cost-management,student;school-leader;higher-ed-educator;data-scientist,azure;azure-cost-management;azure-firewall;azure-key-vault,beginner,marouill,MaximRouiller
Learn how Microsoft supports cloud adoption as part of a cybersecurity solution,https://docs.microsoft.com/en-us/learn/paths/secure-cloud-adoption-cybersecurity/,2,23001,257173,119.79%,192,230,257,1727,35.976233642015565,357,91,learn-m365.cybersecurity-secure-cloud-adoption,administrator;security-operations-analyst;security-engineer,m365;azure,beginner,beccarobins,beccarobins
Особенности восприятия и обработки информации: инклюзивные инструменты Microsoft для организации образовательной деятельности,https://docs.microsoft.com/en-us/learn/paths/inclusive-tools-for-users-with-processing-disorders/,4,1,3,100.00%,1,1,1,1727,4.533333333333333,2,105,learn.mec.inclusive-tools-for-users-with-processing-disorders,k-12-educator;school-leader,windows,beginner,abdewees,mec-sa
Manage access and security for Azure Virtual Desktop,https://docs.microsoft.com/en-us/learn/paths/manage-access-security/,2,181,1914,94.44%,72,68,80,1727,12.768600368324126,22,88,learn.wwl.manage-access-security,administrator;solution-architect,azure;azure-virtual-desktop;azure-virtual-machines,intermediate,bradj,wwlpublish
Bring AI to business users in your organization,https://docs.microsoft.com/en-us/learn/paths/bring-ai-to-business-users-your-organization/,3,79790,527060,91.34%,404,369,395,1727,22.725459957388143,974,113,learn.wwl.bring-ai-to-business-users-your-organization,business-user,m365;power-platform,beginner,japerena,wwlpublish
Implement Windows Server IaaS VM Identity,https://docs.microsoft.com/en-us/learn/paths/implement-windows-server-iaas-virtual-machine-identity/,2,1453,12010,83.33%,192,160,191,1727,26.712812571690755,344,148,learn.wwl.implement-windows-server-iaas-vm-identity,administrator;solution-architect;technology-manager,azure;azure-active-directory;azure-cloud-shell;azure-portal;azure-virtual-machines,intermediate,tonyj,wwlpublish
Monitor and maintain an Azure Virtual Desktop infrastructure,https://docs.microsoft.com/en-us/learn/paths/monitor-maintain-azure-virtual-desktop-infrastructure/,3,206,2063,79.41%,68,54,66,1727,12.815938511326861,20,115,learn.wwl.monitor-maintain-azure-virtual-desktop-infrastructure,administrator;solution-architect,azure;azure-virtual-desktop;azure-virtual-machines,intermediate,bradj,wwlpublish
,,,17,30,70.59%,17,12,58,1727,1.5176470588235293,219921,,,,,,,
Manage user environments and apps for Azure Virtual Desktop,https://docs.microsoft.com/en-us/learn/paths/manage-user-environments-apps/,3,238,3432,66.28%,86,57,72,1727,19.336974789915967,24,211,learn.wwl.manage-user-environments-apps,administrator;solution-architect,azure;azure-virtual-desktop;azure-virtual-machines,intermediate,bradj,wwlpublish
Plan an Azure Virtual Desktop implementation,https://docs.microsoft.com/en-us/learn/paths/plan-azure-virtual-desktop-implementation/,3,827,11257,62.75%,247,155,171,1727,25.350564288593308,38,176,learn.wwl.plan-azure-virtual-desktop-implementation,administrator;solution-architect,azure;azure-virtual-desktop,intermediate,bradj,wwlpublish
