Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels
"                تصميم التعلّم للقرن الحادي والعشرين،الدورة الثالثة:التواصل بمهارة",https://docs.microsoft.com/en-us/learn/modules/21st-century-learning-design-course-3/,9,2,2,NaN,0,0,,,0,0,114,,,,,office-word,k-12-educator;school-leader,beginner
               تصميم التعلم للقرن الحادي والعشرين: الدورة الخامسة – التنظيم الذاتي,https://docs.microsoft.com/en-us/learn/modules/21st-century-learning-design-course-5/,9,2,2,NaN,0,0,,,0.002222222,0.133333333,86,,,,,office-word,k-12-educator;school-leader,beginner
              تصميم التعلم للقرن الحادي والعشرين:الدورة الثانية-التعاون,https://docs.microsoft.com/en-us/learn/modules/21st-century-learning-design-course-2-collaboration/,9,2,2,NaN,0,0,,,0.001666667,0.1,103,,,,,office-365,k-12-educator;school-leader,beginner
 Support learning environments with instructional leadership,https://docs.microsoft.com/en-us/learn/modules/support-learn-environments-instructional-leadership/,8,176,906,35.00%,80,14,11,,4.511666667,3.076136364,34,5,1,,,office-forms;office-teams;office-365,k-12-educator;school-leader,intermediate
 تصميم التعلم للقرن الحادي والعشرين: الدورة السادسة – حل المشكلات الواقعية والابتكار,https://docs.microsoft.com/en-us/learn/modules/21st-century-learning-design-course-6/,9,2,2,NaN,0,0,,,0.010833333,0.65,96,,,,,office-365,k-12-educator;school-leader,beginner
[はじめての Teams ①] Microsoft Teams の概要,https://docs.microsoft.com/en-us/learn/modules/hajimeteno-teams/,8,4,4,NaN,0,0,,,0.019722222,0.591666667,27,,,,,office-teams;office-365,k-12-educator;school-leader,beginner
"¿Cómo administrar y Organizar mis ""equipos de clase"" con Teams?... desde cero. Ciclo Webinars Teams 8/9",https://docs.microsoft.com/en-us/learn/modules/administrar-organizar-equipos-clase/,16,10,18,NaN,0,0,,,0.962222222,11.54666667,67,,,,,office-teams,k-12-educator;school-leader,intermediate
2021مدرب ساعة برمجة,https://docs.microsoft.com/en-us/learn/modules/hour-of-code-trainer-2021/,7,22,146,12.50%,16,1,1,,0.592777778,3.233333333,23,,,,,minecraft,k-12-educator,beginner
5G business models for Azure cloud technologies in enterprise,https://docs.microsoft.com/en-us/learn/modules/5g-business-models/,6,130,572,63.16%,76,24,23,,8.960555556,8.271282051,40,5,3,,,azure-iot-edge,ai-edge-engineer,beginner
Accelerate and scale a Spring Boot application with Azure Cache for Redis,https://docs.microsoft.com/en-us/learn/modules/accelerate-scale-spring-boot-application-azure-cache-redis/,9,568,"3,362",52.30%,348,91,98,,47.08027778,9.946537559,41,5,4,,,azure;azure-cache-redis;azure-app-service,developer,intermediate
Accelerate high-performance computing storage by using Azure HPC Cache,https://docs.microsoft.com/en-us/learn/modules/accelerate-storage-with-hpc-cache/,7,132,836,86.00%,100,43,44,,4.611666667,4.192424242,22,5,1,,,azure;azure-hpc-cache,administrator;technology-manager;solution-architect,beginner
Accelerate your migration and modernization journey to Azure,https://docs.microsoft.com/en-us/learn/modules/accelerate-azure-migration-journey/,8,304,"1,590",33.75%,164,27,30,,45.34611111,18.13844444,66,,,,,azure;azure-migrate,administrator;developer;solution-architect;auditor;business-analyst;business-owner;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,beginner
Accesibilidad y educación inclusiva: atiende a las necesidades de tus estudiantes,https://docs.microsoft.com/en-us/learn/modules/accesibilidad-y-educacion-inclusiva-atiende-a-las-necesidad/,12,42,134,12.50%,16,1,1,,3.251388889,9.28968254,50,,,,,office-teams;office-365;office-onenote,k-12-educator,beginner
Access a user's calendar events in a JavaScript app with Microsoft Graph,https://docs.microsoft.com/en-us/learn/modules/msgraph-access-user-events/,7,175,804,22.00%,101,11,8,,11.42638889,7.880268199,50,5,2,,,m365;ms-graph,developer,intermediate
Access a user's calendar events in an ASP.NET Core app with Microsoft Graph,https://docs.microsoft.com/en-us/learn/modules/msgraph-dotnet-core-access-user-events/,7,186,"1,104",50.00%,116,29,30,1,7.381388889,4.76218638,30,5,3,,,m365;ms-graph;dotnet-core,developer,intermediate
Access external libraries from TypeScript,https://docs.microsoft.com/en-us/learn/modules/typescript-work-external-libraries/,8,360,"2,148",43.59%,234,51,53,,43.88916667,14.62972222,46,5,2,,,azure;vs-code,student;developer,intermediate
Access Files with Microsoft Graph,https://docs.microsoft.com/en-us/learn/modules/msgraph-access-file-data/,8,934,"4,426",28.44%,654,93,100,,117.3044444,15.07123483,62,5,2,,,m365;ms-graph,developer,intermediate
Access metrics from your Azure Blob Storage Containers Programmatically,https://docs.microsoft.com/en-us/learn/modules/access-blob-storage-metrics-from-code/,6,72,278,28.57%,28,4,4,,0.489166667,0.815277778,42,,,,,azure,developer,beginner
