Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
"                ????? ??????? ????? ?????? ??????????????? ???????:??????? ??????",https://docs.microsoft.com/en-us/learn/modules/21st-century-learning-design-course-3/,9,2,12,0.00%,2,0,1,,0.058333333,3.5,114,,,,,office-word,k-12-educator;school-leader,beginner,abdewees,mec-sa
               ????? ?????? ????? ?????? ????????: ?????? ??????? – ??????? ??????,https://docs.microsoft.com/en-us/learn/modules/21st-century-learning-design-course-5/,9,6,20,0.00%,4,0,,,0.118611111,2.372222222,86,,,,,office-word,k-12-educator;school-leader,beginner,abdewees,mec-sa
              Diseño del Aprendizaje en el Siglo XXI: Curso 3 - Habilidades de comunicación,https://docs.microsoft.com/en-us/learn/modules/21cld-curso-3-habilidades-de-comunicacion/,10,,,,,,,,,,103,,,,,office-365,k-12-educator;school-leader,beginner,abdewees,mec-sa
              ????? ?????? ????? ?????? ????????:?????? ???????-???????,https://docs.microsoft.com/en-us/learn/modules/21st-century-learning-design-course-2-collaboration/,9,2,2,NaN,0,0,,,0.003888889,0.233333333,103,,,,,office-365,k-12-educator;school-leader,beginner,abdewees,mec-sa
            Diseño del Aprendizaje en el Siglo XXI: Curso 4 - Construcción de conocimiento,https://docs.microsoft.com/en-us/learn/modules/21cld-curso-4-construccion-conocimiento/,10,,,,,,,,,,85,,,,,office-365,k-12-educator;school-leader,beginner,abdewees,mec-sa
 Asignar y evaluar estudiantes con tareas y formularios en Teams,https://docs.microsoft.com/en-us/learn/modules/asignar-evaluar-tareas-formularios-teams/,10,,,,,,,,,,58,,,,,office-teams,k-12-educator;school-leader,beginner,abdewees,mec-sa
 Support learning environments with instructional leadership,https://docs.microsoft.com/en-us/learn/modules/support-learn-environments-instructional-leadership/,8,214,"1,174",55.17%,116,32,25,3,7.361666667,4.128037383,34,5,2,,,office-forms;office-teams;office-365,k-12-educator;school-leader,intermediate,abdewees,mec-sa
 ????? ?????? ????? ?????? ????????: ?????? ??????? – ?? ???????? ???????? ?????????,https://docs.microsoft.com/en-us/learn/modules/21st-century-learning-design-course-6/,9,10,78,100.00%,6,3,4,,0.556388889,6.676666667,96,5,2,,,office-365,k-12-educator;school-leader,beginner,abdewees,mec-sa
[????? Teams ?] Microsoft Teams ???,https://docs.microsoft.com/en-us/learn/modules/hajimeteno-teams/,8,34,154,60.00%,20,6,5,,0.36,1.270588235,27,5,1,,,office-teams;office-365,k-12-educator;school-leader,beginner,abdewees,mec-sa
"¿Cómo administrar y Organizar mis ""equipos de clase"" con Teams?... desde cero. Ciclo Webinars Teams 8/9",https://docs.microsoft.com/en-us/learn/modules/administrar-organizar-equipos-clase/,16,4,68,100.00%,4,2,2,,0.075277778,2.258333333,67,5,2,,,office-teams,k-12-educator;school-leader,intermediate,abdewees,mec-sa
2021???? ???? ?????,https://docs.microsoft.com/en-us/learn/modules/hour-of-code-trainer-2021/,7,26,242,83.33%,24,10,11,2,0.694722222,3.206410256,23,5,3,,,minecraft,k-12-educator,beginner,abdewees,mec-sa
5G business models for Azure cloud technologies in enterprise,https://docs.microsoft.com/en-us/learn/modules/5g-business-models/,6,138,522,52.78%,72,19,20,,15.58138889,13.54903382,40,2,1,,,azure-iot-edge,ai-edge-engineer,beginner,chnoring,leestott
Accelerate and scale a Spring Boot application with Azure Cache for Redis,https://docs.microsoft.com/en-us/learn/modules/accelerate-scale-spring-boot-application-azure-cache-redis/,9,567,"2,546",26.79%,337,45,52,,38.09333333,8.076325088,41,5,3,,,azure;azure-cache-redis;azure-app-service,developer,intermediate,judubois,JuDubois
Accelerate high-performance computing storage by using Azure HPC Cache,https://docs.microsoft.com/en-us/learn/modules/accelerate-storage-with-hpc-cache/,7,162,"1,040",83.87%,124,52,58,,7.370833333,5.459876543,22,4.666666667,3,,,azure;azure-hpc-cache,administrator;technology-manager;solution-architect,beginner,rohogue,ronhogue
Accelerate your migration and modernization journey to Azure,https://docs.microsoft.com/en-us/learn/modules/accelerate-azure-migration-journey/,8,"1,108","3,512",11.25%,481,27,29,,113.6675,12.35516304,66,4.5,2,,,azure;azure-migrate,administrator;developer;solution-architect;auditor;business-analyst;business-owner;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,beginner,jumcn,jamcneil
Accesibilidad y educación inclusiva: atiende a las necesidades de tus estudiantes,https://docs.microsoft.com/en-us/learn/modules/accesibilidad-y-educacion-inclusiva-atiende-a-las-necesidad/,12,30,312,62.50%,16,5,3,,2.027777778,8.111111111,50,5,1,,,office-teams;office-365;office-onenote,k-12-educator,beginner,abdewees,mec-sa
Access a user's calendar events in a JavaScript app with Microsoft Graph,https://docs.microsoft.com/en-us/learn/modules/msgraph-access-user-events/,7,150,630,39.02%,82,16,15,,9.274722222,7.419777778,50,,,,,m365;ms-graph,developer,intermediate,rwilliams,rabwill
Access a user's calendar events in an ASP.NET Core app with Microsoft Graph,https://docs.microsoft.com/en-us/learn/modules/msgraph-dotnet-core-access-user-events/,7,180,860,42.31%,104,22,25,,13.29611111,8.864074074,30,,,,,m365;ms-graph;dotnet-core,developer,intermediate,dwahlin,DanWahlin
Access external libraries from TypeScript,https://docs.microsoft.com/en-us/learn/modules/typescript-work-external-libraries/,8,427,"2,630",51.02%,295,75,78,,44.12111111,12.428482,46,5,7,,,azure;vs-code,student;developer,intermediate,chnoring,GeekTrainer
Access Files with Microsoft Graph,https://docs.microsoft.com/en-us/learn/modules/msgraph-access-file-data/,8,"1,021","5,138",26.43%,735,97,106,3,139.7597222,16.44232026,62,4.8,5,,,m365;ms-graph,developer,intermediate,suzanz,andrewconnell-msft
Access metrics from your Azure Blob Storage Containers Programmatically,https://docs.microsoft.com/en-us/learn/modules/access-blob-storage-metrics-from-code/,6,78,254,33.33%,30,5,5,,1.891388889,2.90982906,42,,,,,azure,developer,beginner,robmcm,rmcmurray
Access Microsoft Dataverse in Power Apps portals,https://docs.microsoft.com/en-us/learn/modules/portals-access-common-data-service/,6,"7,946","53,937",84.92%,"7,204","3,053","3,387",6,708.23,10.71992936,50,4.74,100,,,power-apps;power-platform,functional-consultant;maker;developer,intermediate,dbeasley,DaveBeasley
Access REST services from within Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/access-rest-services/,8,263,"1,610",33.73%,167,28,26,,43.44472222,19.89834606,60,5,1,,,dynamics-365;dynamics-business-central,developer,intermediate,kschimke,KevSch
