Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Configure discrete manufacturing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-discrete-manufacturing-dyn365-supply-chain-mgmt/,33,316,5628,30.36%,224,34,34,,142.24972222222223,54.018881856540084,332,3.6,5,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant,intermediate,cstorega,cstorega
Configure and work with inventory management in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-inventory-management-dyn365-supply-chain-mgmt/,24,2274,22496,19.90%,1564,154,132,,983.9669444444445,52.33866725768321,310,4.9,10,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Work with warehouse management in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/work-warehouse-management-dyn365-supply-chain-mgmt/,16,967,6366,22.86%,635,72,47,,238.35888888888888,29.732917532917533,286,4.714285714285714,7,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Extend Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/extend-commerce/,15,198,1044,19.64%,112,11,11,,25.3675,15.374242424242425,241,5,1,,,dynamics-365;dynamics-commerce,developer,advanced,cstorega,cstorega
Configure and use built-in master planning in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-use-master-planning-dyn365-supply-chain-mgmt/,14,1149,7374,14.80%,846,62,53,,275.8,29.03157894736842,219,4.6,5,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure process manufacturing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-use-process-manufacturing-dyn365-supply-chain-mgmt/,31,382,5514,32.26%,248,40,40,,80.59166666666667,25.31675392670157,218,4.75,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant,intermediate,cstorega,cstorega
Author a guide in Dynamics 365 Guides,https://docs.microsoft.com/en-us/learn/modules/author-guides/,26,414,3676,19.33%,300,29,29,,32.604166666666664,9.45048309178744,211,5,3,,,dynamics-365;dynamics-guides;hololens,functional-consultant;solution-architect;business-user,intermediate,cstorega,cstorega
Configure and manage the order to cash process in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-manage-order-cash-dyn365-supply-chain-mgmt/,13,1054,7092,15.74%,798,62,58,,303.7661111111111,34.91564495530013,203,5,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure activity-based subcontracting and production flow costing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-subcontracting-flow-dyn365-supply-chain-mgmt/,23,206,2064,42.31%,104,22,22,,26.260555555555555,15.297411003236245,197,5,1,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant,advanced,cstorega,cstorega
Configure and use intercompany trade in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-use-intercompany-trade-dyn365-supply-chain-mgmt/,12,1112,6398,17.22%,665,57,59,,192.88694444444445,20.89028279181709,195,5,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Use Azure Lighthouse with your managed service business,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-lighthouse/,13,350,2266,15.84%,202,16,17,,65.05027777777778,22.30295238095238,191,5,2,,,azure,administrator;technology-manager,beginner,socuff,IanKensey
Configure omnichannel prerequisites in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/configure-omnichannel-prerequisites/,17,244,2332,28.42%,190,27,25,,66.85694444444445,32.880464480874316,188,4,1,,,dynamics-365;dynamics-commerce,functional-consultant,intermediate,cstorega,cstorega
