Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Configure discrete manufacturing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-discrete-manufacturing-dyn365-supply-chain-mgmt/,33,329,6786,40.65%,247,50,53,,132.54833333333335,48.49329268292683,332,4.75,4,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant,intermediate,cstorega,cstorega
Configure and work with inventory management in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-inventory-management-dyn365-supply-chain-mgmt/,24,2487,23512,16.51%,1684,138,122,,958.9369444444444,46.51270547022366,310,4.7,10,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Work with warehouse management in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/work-warehouse-management-dyn365-supply-chain-mgmt/,16,1071,7574,20.58%,695,71,54,1,330.37166666666667,37.259962406015035,286,4.75,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Extend Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/extend-commerce/,15,214,1180,31.37%,102,16,16,,25.261111111111113,14.165109034267912,241,,,,,dynamics-365;dynamics-commerce,developer,advanced,cstorega,cstorega
Configure and use built-in master planning in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-use-master-planning-dyn365-supply-chain-mgmt/,14,1230,8612,17.90%,896,80,67,1,343.3525,33.60709624796085,219,4.6,5,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Author a guide in Dynamics 365 Guides,https://docs.microsoft.com/en-us/learn/modules/author-guides/,26,331,3414,31.45%,249,39,39,2,33.708888888888886,12.257777777777777,211,4.5,2,,,dynamics-365;dynamics-guides;hololens,functional-consultant;solution-architect;business-user,intermediate,cstorega,cstorega
Configure and manage the order to cash process in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-manage-order-cash-dyn365-supply-chain-mgmt/,13,1096,6388,17.00%,804,68,64,,308.95166666666665,33.9507326007326,203,4,2,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure activity-based subcontracting and production flow costing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-subcontracting-flow-dyn365-supply-chain-mgmt/,23,212,2180,29.69%,128,19,20,,44.59861111111111,25.24449685534591,197,5,2,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant,advanced,cstorega,cstorega
Configure and use intercompany trade in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-use-intercompany-trade-dyn365-supply-chain-mgmt/,12,1250,7882,19.46%,741,72,66,,257.5288888888889,24.762393162393163,195,4,7,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Use Azure Lighthouse with your managed service business,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-lighthouse/,13,282,1420,11.43%,140,8,8,,34.54194444444445,14.69869976359338,191,5,1,,,azure;azure-lighthouse,administrator;technology-manager,beginner,socuff,IanKensey
Configure omnichannel prerequisites in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/configure-omnichannel-prerequisites/,17,264,2814,29.46%,224,33,26,,76.165,34.62045454545454,188,5,1,,,dynamics-365;dynamics-commerce,functional-consultant,intermediate,cstorega,cstorega
Get started with product configuration in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/get-started-product-configuration-dyn365-supply-chain-mgmt/,15,422,3084,33.33%,252,42,38,,74.82583333333334,21.27748815165877,186,5,5,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Use Planning Optimization in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/planning-optimization/,19,759,13992,33.09%,541,89,86,,175.7086111111111,27.890255731922398,176,4.75,8,,,dynamics-365;dynamics-scm;dynamics-finance-operations,business-user;functional-consultant,intermediate,cstorega,cstorega
Configure taxes in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/configure-tax-module-dyn365-finance/,19,806,5870,20.88%,547,57,48,,123.84555555555555,18.48441127694859,169,5,3,,,dynamics-365;dynamics-finance;dynamics-finance-operations,functional-consultant,intermediate,cstorega,cstorega
