Order,LearningPathUid_x,LearningPathUrl,TotalModules,Certification,Title,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels,Month,Year
0,learn.wwl.provision-manage-azure-cognitive-services,https://docs.microsoft.com/en-us/learn/paths/provision-manage-azure-cognitive-services/,4,ai-102,Provision and manage Azure Cognitive Services,4.0,"2,321","29,423",23.52%,"1,603",377,431,2559,27.85855953,416,185.0,learn.wwl.provision-manage-azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services,intermediate,9,2021
1,learn.wwl.process-translate-text-azure-cognitive-services,https://docs.microsoft.com/en-us/learn/paths/process-translate-text-azure-cognitive-services/,2,ai-102,Process and translate text with Azure Cognitive Services,2.0,"1,536","15,263",33.04%,"1,123",371,421,2559,18.708669699999998,95,108.0,learn.wwl.process-translate-text-azure-cognitive-services,ai-engineer;developer,azure-cognitive-services,intermediate,9,2021
2,learn.wwl.process-translate-speech-azure-cognitive-speech-services,https://docs.microsoft.com/en-us/learn/paths/process-translate-speech-azure-cognitive-speech-services/,2,ai-102,Process and Translate Speech with Azure Cognitive Speech Services,2.0,"3,788","54,679",93.26%,"1,543","1,439","1,566",2559,17.63867036,"1,361",105.0,learn.wwl.process-translate-speech-azure-cognitive-speech-services,ai-engineer;developer,azure;azure-cognitive-services,intermediate,9,2021
3,learn.wwl.prepare-for-ai-engineering,https://docs.microsoft.com/en-us/learn/paths/prepare-for-ai-engineering/,1,ai-102,Prepare for AI engineering,1.0,"3,277","24,719",20.61%,"3,086",636,782,2559,16.62677754,252,31.0,learn.wwl.prepare-for-ai-engineering,ai-engineer;developer,azure,intermediate,9,2021
4,learn.wwl.implement-knowledge-mining-azure-cognitive-search,https://docs.microsoft.com/en-us/learn/paths/implement-knowledge-mining-azure-cognitive-search/,3,ai-102,Implement knowledge mining with Azure Cognitive Search,3.0,"1,085","11,579",22.25%,764,170,198,2559,28.85494624,585,155.0,learn.wwl.implement-knowledge-mining-azure-cognitive-search,ai-engineer;developer;solution-architect,azure;azure-cognitive-services;azure-sdks;azure-cognitive-search,intermediate,9,2021
5,learn.wwl.extract-text-from-images-documents,https://docs.microsoft.com/en-us/learn/paths/extract-text-from-images-documents/,2,ai-102,Extract text from images and documents,2.0,"1,186","10,749",29.19%,829,242,293,2559,20.76905565,224,91.0,learn.wwl.extract-text-from-images-documents,ai-engineer;data-scientist;student,azure-form-recognizer,intermediate,9,2021
6,learn.wwl.create-language-understanding-solution,https://docs.microsoft.com/en-us/learn/paths/create-language-understanding-solution/,3,ai-102,Create a Language Understanding solution,3.0,"1,328","14,398",25.55%,912,233,273,2559,23.6032003,92,148.0,learn.wwl.create-language-understanding-solution,ai-engineer;developer,azure-cognitive-services;azure-language-understanding,intermediate,9,2021
7,learn.wwl.create-conversational-ai-solutions,https://docs.microsoft.com/en-us/learn/paths/create-conversational-ai-solutions/,2,ai-102,Create conversational AI solutions,2.0,"2,147","15,572",15.02%,"1,591",239,277,2559,19.35990529,601,124.0,learn.wwl.create-conversational-ai-solutions,ai-engineer;developer,azure;azure-bot-service;azure-cognitive-services;azure-language-understanding;azure-sdks,intermediate,9,2021
8,learn.wwl.create-computer-vision-solutions-azure-cognitive-services,https://docs.microsoft.com/en-us/learn/paths/create-computer-vision-solutions-azure-cognitive-services/,5,ai-102,Create computer vision solutions with Azure Cognitive Services,5.0,"1,842","20,984",22.10%,982,217,242,2559,18.303646399999998,88,267.0,learn.wwl.create-computer-vision-solutions-azure-cognitive-services,ai-engineer;developer,azure-cognitive-services;azure-computer-vision;azure-custom-vision;azure-face;azure-video-indexer,intermediate,9,2021
9,learn.wwl.build-qna-solution,https://docs.microsoft.com/en-us/learn/paths/build-qna-solution/,1,ai-102,Build a QnA solution,1.0,652,"6,215",37.40%,615,230,271,2559,16.23059816,69,36.0,learn.wwl.build-qna-solution,ai-engineer;developer,azure-cognitive-services;azure-qna-maker,intermediate,9,2021
10,learn.wwl.get-started-with-artificial-intelligence-on-azure,https://docs.microsoft.com/en-us/learn/paths/get-started-with-artificial-intelligence-on-azure/,1,ai-900,Get started with artificial intelligence on Azure,1.0,"38,824","393,504",43.72%,"24,812","10,847","12,738",2559,13.63026264,"13,593",34.0,learn.wwl.get-started-with-artificial-intelligence-on-azure,ai-engineer;data-scientist;developer;student,azure-bot-service;azure-cognitive-services;azure-machine-learning,beginner,9,2021
