,LearningPathUid_x,LearningPathUrl,TotalModules,Certification,Title,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels,Month,Year
0,learn.wwl.provision-manage-azure-cognitive-services,https://docs.microsoft.com/en-us/learn/paths/provision-manage-azure-cognitive-services/,4,ai-102,Provision and manage Azure Cognitive Services,4,"2,199","34,088",28.62%,"1,894",542,591,2180,25.84937093,542,185,learn.wwl.provision-manage-azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services,intermediate,11,2021
1,learn.wwl.process-translate-text-azure-cognitive-services,https://docs.microsoft.com/en-us/learn/paths/process-translate-text-azure-cognitive-services/,2,ai-102,Process and translate text with Azure Cognitive Services,2,"1,671","18,259",32.34%,"1,438",465,510,2180,16.03169759,198,108,learn.wwl.process-translate-text-azure-cognitive-services,ai-engineer;developer,azure-cognitive-services,intermediate,11,2021
2,learn.wwl.process-translate-speech-azure-cognitive-speech-services,https://docs.microsoft.com/en-us/learn/paths/process-translate-speech-azure-cognitive-speech-services/,2,ai-102,Process and Translate Speech with Azure Cognitive Speech Services,2,"1,908","19,232",34.41%,"1,357",467,500,2180,15.78802411,"1,465",105,learn.wwl.process-translate-speech-azure-cognitive-speech-services,ai-engineer;developer,azure;azure-cognitive-services,intermediate,11,2021
3,learn.wwl.prepare-for-ai-engineering,https://docs.microsoft.com/en-us/learn/paths/prepare-for-ai-engineering/,1,ai-102,Prepare for AI engineering,1,"3,499","26,796",23.64%,"3,308",782,889,2180,14.74740878,529,31,learn.wwl.prepare-for-ai-engineering,ai-engineer;developer,azure,intermediate,11,2021
4,learn.wwl.implement-knowledge-mining-azure-cognitive-search,https://docs.microsoft.com/en-us/learn/paths/implement-knowledge-mining-azure-cognitive-search/,3,ai-102,Implement knowledge mining with Azure Cognitive Search,3,"1,345","19,586",35.39%,"1,167",413,450,2180,21.61687732,652,155,learn.wwl.implement-knowledge-mining-azure-cognitive-search,ai-engineer;developer;solution-architect,azure;azure-cognitive-services;azure-sdks;azure-cognitive-search,intermediate,11,2021
5,learn.wwl.extract-text-from-images-documents,https://docs.microsoft.com/en-us/learn/paths/extract-text-from-images-documents/,2,ai-102,Extract text from images and documents,2,"1,522","15,473",32.57%,"1,274",415,451,2180,11.72907359,339,91,learn.wwl.extract-text-from-images-documents,ai-engineer;data-scientist;student,azure-form-recognizer,intermediate,11,2021
6,learn.wwl.create-language-understanding-solution,https://docs.microsoft.com/en-us/learn/paths/create-language-understanding-solution/,3,ai-102,Create a Language Understanding solution,3,"1,375","19,295",34.55%,"1,146",396,435,2180,21.82473939,181,148,learn.wwl.create-language-understanding-solution,ai-engineer;developer,azure-cognitive-services;azure-language-understanding,intermediate,11,2021
7,learn.wwl.create-conversational-ai-solutions,https://docs.microsoft.com/en-us/learn/paths/create-conversational-ai-solutions/,2,ai-102,Create conversational AI solutions,2,"2,267","18,928",23.04%,"1,840",424,466,2180,19.26537274,707,124,learn.wwl.create-conversational-ai-solutions,ai-engineer;developer,azure;azure-bot-service;azure-cognitive-services;azure-language-understanding;azure-sdks,intermediate,11,2021
8,learn.wwl.create-computer-vision-solutions-azure-cognitive-services,https://docs.microsoft.com/en-us/learn/paths/create-computer-vision-solutions-azure-cognitive-services/,5,ai-102,Create computer vision solutions with Azure Cognitive Services,5,"1,901","29,677",30.02%,"1,266",380,421,2180,18.19799228,177,267,learn.wwl.create-computer-vision-solutions-azure-cognitive-services,ai-engineer;developer,azure-cognitive-services;azure-computer-vision;azure-custom-vision;azure-face;azure-video-indexer,intermediate,11,2021
9,learn.wwl.build-qna-solution,https://docs.microsoft.com/en-us/learn/paths/build-qna-solution/,1,ai-102,Build a QnA solution,1,"1,054","9,189",42.09%,955,402,438,2180,13.34977862,133,36,learn.wwl.build-qna-solution,ai-engineer;developer,azure-cognitive-services;azure-qna-maker,intermediate,11,2021
10,learn.wwl.get-started-with-artificial-intelligence-on-azure,https://docs.microsoft.com/en-us/learn/paths/get-started-with-artificial-intelligence-on-azure/,1,ai-900,Microsoft Azure AI Fundamentals: Get started with artificial intelligence,1,"23,607","182,127",23.62%,"18,956","4,478","5,109",2180,15.97601841,"15,624",34,learn.wwl.get-started-with-artificial-intelligence-on-azure,ai-engineer;data-scientist;developer;student,azure-bot-service;azure-cognitive-services;azure-machine-learning,beginner,11,2021
11,learn.wwl.explore-natural-language-processing,https://docs.microsoft.com/en-us/learn/paths/explore-natural-language-processing/,4,ai-900,Microsoft Azure AI Fundamentals: Explore natural language processing,4,"7,001","81,990",32.30%,"5,332","1,722","1,899",2180,23.5092701,"6,401",133,learn.wwl.explore-natural-language-processing,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services;azure-language-understanding;azure-portal,beginner,11,2021
12,learn.wwl.explore-fundamentals-of-knowledge-mining,https://docs.microsoft.com/en-us/learn/paths/explore-fundamentals-of-knowledge-mining/,1,ai-900,Microsoft Azure AI Fundamentals: Explore knowledge mining,1,"1,308","9,155",40.26%,991,399,454,2180,21.24146279,102,46,learn.wwl.explore-fundamentals-of-knowledge-mining,ai-engineer;student,azure-search,beginner,11,2021
13,learn.wwl.explore-fundamentals-of-decision-support,https://docs.microsoft.com/en-us/learn/paths/explore-fundamentals-of-decision-support/,1,ai-900,Microsoft Azure AI Fundamentals: Explore decision support,1,"1,111","6,885",41.93%,"1,035",434,468,2180,13.19515452,105,38,learn.wwl.explore-fundamentals-of-decision-support,ai-engineer;student,azure-anomaly-detector,beginner,11,2021
14,learn.wwl.explore-conversational-ai,https://docs.microsoft.com/en-us/learn/paths/explore-conversational-ai/,1,ai-900,Microsoft Azure AI Fundamentals: Explore conversational AI,1,"4,872","25,601",46.58%,"3,761","1,752","1,953",2180,10.31110427,"2,964",29,learn.wwl.explore-conversational-ai,ai-engineer;data-scientist;developer;solution-architect;student,azure-bot-service;azure-cognitive-services,beginner,11,2021
15,learn.wwl.explore-computer-vision-microsoft-azure,https://docs.microsoft.com/en-us/learn/paths/explore-computer-vision-microsoft-azure/,6,ai-900,Microsoft Azure AI Fundamentals: Explore computer vision,6,"10,964","154,047",22.75%,"8,537","1,942","1,964",2180,25.73010458,"6,487",179,learn.wwl.explore-computer-vision-microsoft-azure,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services,beginner,11,2021
16,learn.wwl.create-no-code-predictive-models-with-azure-machine-learning,https://docs.microsoft.com/en-us/learn/paths/create-no-code-predictive-models-azure-machine-learning/,4,ai-900,Microsoft Azure AI Fundamentals: Explore visual tools for machine learning,4,"18,048","281,306",16.43%,"13,487","2,216","2,480",2180,35.73681571,"10,686",209,learn.wwl.create-no-code-predictive-models-with-azure-machine-learning,ai-engineer;data-scientist,azure;azure-machine-learning,beginner,11,2021
17,learn.wwl.create-no-code-predictive-models-with-azure-machine-learning,https://docs.microsoft.com/en-us/learn/paths/create-no-code-predictive-models-azure-machine-learning/,4,dp-100,Microsoft Azure AI Fundamentals: Explore visual tools for machine learning,4,"18,048","281,306",16.43%,"13,487","2,216","2,480",2180,35.73681571,"10,686",209,learn.wwl.create-no-code-predictive-models-with-azure-machine-learning,ai-engineer;data-scientist,azure;azure-machine-learning,beginner,11,2021
18,learn.security.manage-security-operations,https://docs.microsoft.com/en-us/learn/paths/manage-security-operations/,8,az-103,Manage security operations in Azure,8,"43,545","422,759",33.94%,"1,915",650,699,2180,25.26542236,"8,451",360,learn.security.manage-security-operations,administrator;security-engineer,azure;azure-policy;azure-key-vault;azure-active-directory;azure-api-management,beginner;intermediate,11,2021
19,learn.security.manage-identity-and-access,https://docs.microsoft.com/en-us/learn/paths/manage-identity-and-access/,9,az-103,Manage identity and access in Azure Active Directory,9,"57,472","548,185",17.67%,"6,130","1,083","1,173",2180,23.09705741,"18,122",317,learn.security.manage-identity-and-access,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-active-directory,beginner;intermediate,11,2021
20,learn.security.implement-resource-mgmt-security,https://docs.microsoft.com/en-us/learn/paths/implement-resource-mgmt-security/,6,az-103,Implement resource management security in Azure,6,"52,031","706,182",65.24%,"1,824","1,190","1,237",2180,38.59555265,"9,862",207,learn.security.implement-resource-mgmt-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-resource-manager;azure-blueprints;azure-policy;azure-rbac,beginner;intermediate,11,2021
21,learn.manage-resources-in-azure,https://docs.microsoft.com/en-us/learn/paths/manage-resources-in-azure/,6,az-103,Manage resources in Azure,6,"48,098","536,270",16.27%,"7,812","1,271","1,356",2180,27.59563946,"13,740",271,learn.manage-resources-in-azure,developer;solution-architect;administrator,azure;azure-clis;azure-portal;azure-cost-management,beginner,11,2021
