Order,ModuleUrl,Uid,Url,Certification,LearningPathUrl,Title,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,Month,Year
0,https://docs.microsoft.com/en-us/learn/modules/secure-cognitive-services/,learn.wwl.secure-cognitive-services,/learn/modules/secure-cognitive-services/,ai-102,https://docs.microsoft.com/en-us/learn/paths/provision-manage-azure-cognitive-services/,Secure Cognitive Services,6,"1,005","5,816",59.82%,789,472,514,5.0,211.5683333,12.63094527,42,4.866666667,30,,,azure-active-directory;azure-cognitive-services,administrator;ai-engineer;developer;security-engineer;solution-architect;student,advanced,9,2021
1,https://docs.microsoft.com/en-us/learn/modules/investigate-container-for-use-cognitive-services/,learn.wwl.investigate-container-for-use-with-cognitive-services,/learn/modules/investigate-container-for-use-cognitive-services/,ai-102,https://docs.microsoft.com/en-us/learn/paths/provision-manage-azure-cognitive-services/,Deploy cognitive services in containers,6,660,"4,763",65.73%,607,399,443,,189.14972219999999,17.19542929,54,4.814814815,27,,,azure-cognitive-services;azure-container-instances,ai-engineer;developer;devops-engineer;solution-architect;student,intermediate,9,2021
2,https://docs.microsoft.com/en-us/learn/modules/create-manage-cognitive-services/,learn.wwl.create-manage-cognitive-services,/learn/modules/create-manage-cognitive-services/,ai-102,https://docs.microsoft.com/en-us/learn/paths/provision-manage-azure-cognitive-services/,Create and consume Cognitive Services,8,"1,151","8,784",51.71%,"1,052",544,587,2.0,316.2738889,16.48690993,47,4.823529412,34,,,azure-cognitive-services,ai-engineer;developer;student,intermediate,9,2021
3,https://docs.microsoft.com/en-us/learn/modules/monitor-cognitive-services/,learn.wwl.monitor-cognitive-services,/learn/modules/monitor-cognitive-services/,ai-102,https://docs.microsoft.com/en-us/learn/paths/provision-manage-azure-cognitive-services/,Monitor Cognitive Services,8,704,"6,051",66.98%,639,428,483,1.0,215.0027778,18.32410038,42,4.8571428569999995,21,,,azure-cognitive-services,administrator;ai-engineer;developer;student,intermediate,9,2021
4,https://docs.microsoft.com/en-us/learn/modules/translate-text-with-translator-service/,learn.wwl.translate-text-with-translator-service,/learn/modules/translate-text-with-translator-service/,ai-102,https://docs.microsoft.com/en-us/learn/paths/process-translate-text-azure-cognitive-services/,Translate text with the Translator service,8,694,"5,420",62.54%,614,384,422,,163.9641667,14.17557637,51,4.807692308,26,,,azure-cognitive-services,ai-engineer;developer,intermediate,9,2021
5,https://docs.microsoft.com/en-us/learn/modules/extract-insights-text-with-text-analytics-service/,learn.wwl.extract-insights-text-with-text-analytics-service,/learn/modules/extract-insights-text-with-text-analytics-service/,ai-102,https://docs.microsoft.com/en-us/learn/paths/process-translate-text-azure-cognitive-services/,Extract insights from text with the Text Analytics service,10,880,"7,680",53.85%,780,420,446,3.0,235.1322222,16.03174242,57,4.8,25,,,azure-cognitive-services,ai-engineer;developer,intermediate,9,2021
6,https://docs.microsoft.com/en-us/learn/modules/translate-speech-speech-service/,learn.wwl.translate-speech-speech-service,/learn/modules/translate-speech-speech-service/,ai-102,https://docs.microsoft.com/en-us/learn/paths/process-translate-speech-azure-cognitive-speech-services/,Translate speech with the speech service,7,"2,062","19,538",79.79%,"1,841","1,469","1,587",1.0,284.09138889999997,8.266480762999999,47,4.635338346,266,,,azure-cognitive-services,ai-engineer;developer;solution-architect;student,intermediate,9,2021
7,https://docs.microsoft.com/en-us/learn/modules/transcribe-speech-input-text/,learn.wwl.transcribe-speech-input-text,/learn/modules/transcribe-speech-input-text/,ai-102,https://docs.microsoft.com/en-us/learn/paths/process-translate-speech-azure-cognitive-speech-services/,Create speech-enabled apps with the Speech service,9,"3,113","32,157",59.25%,"2,746","1,627","1,741",38.0,728.1794444,14.034939499999998,58,4.737777778,225,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,intermediate,9,2021
8,https://docs.microsoft.com/en-us/learn/modules/prepare-to-develop-ai-solutions-azure/,learn.wwl.prepare-to-develop-ai-solutions-azure,/learn/modules/prepare-to-develop-ai-solutions-azure/,ai-102,https://docs.microsoft.com/en-us/learn/paths/prepare-for-ai-engineering/,Prepare to develop AI solutions on Azure,11,"2,122","19,268",37.34%,"2,038",761,780,1.0,767.3058333,21.69573516,31,4.73,100,,,azure,ai-engineer;developer,intermediate,9,2021
9,https://docs.microsoft.com/en-us/learn/modules/create-knowledge-store-azure-cognitive-search/,learn.wwl.create-knowledge-store-with-azure-cognitive-search,/learn/modules/create-knowledge-store-azure-cognitive-search/,ai-102,https://docs.microsoft.com/en-us/learn/paths/implement-knowledge-mining-azure-cognitive-search/,Create a knowledge store with Azure Cognitive Search,6,392,"2,231",51.16%,346,177,202,1.0,68.18083333,10.43584184,46,5.0,6,,,azure-cognitive-search,ai-engineer;developer;solution-architect,intermediate,9,2021
